temp;light;led1;led2;broken
10.55575936;0;0;1;true
23.21365723;0;1;1;true
32.30892493;0;0;0;true
35.36953334;0;1;0;true
35.59576226;0;0;0;true
36.70380201;0;1;0;true
12.58032695;1;0;0;true
16.61865052;1;0;0;true
22.06925996;1;1;1;true
28.58212231;1;0;1;true
30.70515927;1;0;0;true
14.3798793;2;0;0;true
16.73037993;2;1;0;true
27.92096384;2;1;0;true
38.48778279;2;0;0;true
17.34050866;3;1;0;true
17.54527992;3;0;1;true
17.81462896;3;1;0;true
21.45635033;3;1;1;true
35.82140105;3;1;0;true
15.47767735;4;1;1;true
24.27158468;4;0;0;true
29.89863718;4;1;0;true
35.62727092;4;0;0;true
10.85311134;5;1;1;true
17.94497984;5;0;1;true
25.02709832;5;0;1;true
28.49471614;5;1;0;true
34.86516534;5;1;0;true
40.84748402;5;1;0;true
11.21973956;6;0;1;true
11.47237474;6;1;1;true
19.40356497;6;0;0;true
22.23138093;6;0;0;true
28.72205466;6;1;0;true
32.75574595;6;0;0;true
35.47058159;6;1;1;true
15.21640807;7;0;1;true
24.64913467;7;0;0;true
30.45553336;7;1;0;true
39.88259909;7;0;0;true
40.39632066;7;0;0;true
12.02882005;8;0;1;true
21.76025076;8;0;0;true
30.72726286;8;1;0;true
31.97120205;8;0;0;true
37.85851628;8;0;1;true
40.09986773;8;0;1;true
15.12166017;9;1;1;true
21.00998868;9;1;1;true
11.77100326;10;1;1;true
18.75533248;10;0;0;true
20.24127701;10;0;1;true
26.13176051;10;1;1;true
37.63422266;10;1;0;true
15.54333619;11;1;0;true
32.69257193;11;1;0;true
40.04993666;11;0;1;true
10.57310306;12;1;0;true
17.82047151;12;0;1;true
23.92758415;12;0;1;true
26.7609091;12;1;0;true
38.99299938;12;1;0;true
14.71920741;13;1;1;true
18.32701966;13;1;1;true
20.80717515;13;0;1;true
37.94114401;13;1;0;true
18.00350313;14;1;0;true
36.90057304;14;1;0;true
40.17651776;14;0;0;true
12.9386884;15;1;0;true
13.28300681;15;1;0;true
14.67092174;15;1;0;true
22.18571173;15;0;1;true
28.53726941;15;0;1;true
31.82985574;15;1;1;true
12.10252659;16;0;1;true
15.36217413;16;1;0;true
16.95829189;16;0;0;true
17.42746315;16;1;1;true
27.71816964;16;1;1;true
28.4279514;16;0;1;true
11.24603011;17;1;0;true
19.65835757;17;0;0;true
30.54443959;17;0;1;true
35.01913106;17;0;1;true
38.8070062;17;1;0;true
39.39901884;17;0;1;true
10.42816478;18;0;0;true
32.14407166;18;0;1;true
13.20438884;19;1;1;true
14.3628942;19;0;0;true
14.60651248;19;1;1;true
18.62491901;19;1;0;true
37.6297883;19;1;1;true
40.57614054;19;1;0;true
10.43938181;20;0;0;true
29.60949733;20;1;0;true
32.87031707;20;0;1;true
40.68641216;20;1;1;true
13.75120677;21;1;0;true
20.36946121;21;0;1;true
23.66203124;21;1;0;true
28.79638267;21;1;1;true
38.21531277;21;1;0;true
16.77378093;22;1;0;true
34.11632365;22;1;1;true
22.19345918;23;0;0;true
22.88453452;23;1;0;true
12.29479112;24;0;0;true
19.8436605;24;0;0;true
25.05658361;24;0;1;true
28.07782354;24;0;0;true
36.22764769;24;1;1;true
39.99076307;24;0;1;true
10.82128327;25;1;0;true
20.83064827;25;1;1;true
22.25725064;25;1;0;true
37.97554058;25;0;0;true
16.76457469;27;1;0;true
20.82863995;27;1;0;true
27.26622264;27;1;1;true
36.42051084;27;1;1;true
40.64964889;27;0;1;true
14.42565856;28;0;0;true
17.82927409;28;1;1;true
24.21156023;28;0;1;true
24.70107715;28;1;0;true
29.2590449;28;1;1;true
34.4281108;28;0;0;true
11.07552659;29;1;0;true
21.82656951;29;0;0;true
23.31792917;29;1;1;true
30.42158888;30;1;1;true
37.74353622;30;1;0;true
38.60123859;30;0;1;true
14.29465334;31;0;1;true
21.44055624;31;1;1;true
23.02692543;31;1;1;true
24.38180415;31;1;1;true
30.78669496;31;1;1;true
23.6286623;32;0;1;true
35.72596701;32;0;1;true
38.1327298;32;1;1;true
20.21933804;33;0;0;true
36.65769056;33;0;1;true
25.79311833;34;1;1;true
28.89558737;34;0;0;true
30.04026979;34;0;0;true
31.40290657;34;1;0;true
11.0589475;35;1;0;true
12.62464479;35;1;0;true
22.15030736;35;1;0;true
30.00345837;35;1;1;true
34.01186857;35;1;0;true
20.06695175;36;0;0;true
25.99535144;36;1;1;true
40.79760032;36;1;0;true
12.34728571;37;1;1;true
12.87470559;37;1;1;true
17.59495599;37;1;0;true
29.71160182;37;1;0;true
37.62577658;37;0;1;true
10.31648384;38;0;1;true
27.04459244;38;1;1;true
35.59778613;38;0;0;true
16.29242791;39;0;0;true
22.20579975;39;0;0;true
26.92726695;39;1;0;true
27.88280179;39;0;0;true
32.49670834;39;0;0;true
11.98931117;40;1;0;true
18.44844338;40;1;1;true
22.31103921;40;0;0;true
35.29885651;40;1;0;true
40.02486172;40;0;0;true
14.90489629;41;1;0;true
14.79825162;42;1;0;true
15.76799471;42;1;1;true
26.49473637;42;1;0;true
32.21572838;42;0;0;true
32.593541;42;0;0;true
38.34894028;42;1;1;true
16.52330632;43;1;0;true
20.15610907;43;1;0;true
25.40884588;43;1;0;true
33.13296063;43;0;0;true
35.48046248;43;1;1;true
40.75588736;43;1;0;true
40.91655442;43;0;0;true
21.86348995;44;1;0;true
23.15733419;44;0;1;true
26.81510317;44;1;1;true
40.58171439;44;1;0;true
40.8590389;44;1;0;true
30.92930957;45;1;1;true
32.01928047;45;0;0;true
33.47925649;45;0;0;true
10.35109934;46;0;0;true
23.75696539;46;1;0;true
24.73461661;46;0;0;true
35.66133853;46;0;0;true
15.62411092;47;0;0;true
21.81302622;47;0;1;true
28.35839386;47;0;0;true
28.43642122;47;0;0;true
30.16598022;47;0;0;true
12.16876183;48;1;0;true
15.45373401;48;0;1;true
15.64639751;48;1;1;true
17.17564324;48;1;1;true
21.19937748;48;0;1;true
34.31818773;48;0;1;true
38.80270137;48;0;1;true
18.97229758;49;1;0;true
34.61769161;49;1;0;true
36.1810168;49;1;0;true
36.99305288;49;0;0;true
39.08726423;49;1;1;true
19.80666016;50;0;0;true
22.50319648;50;0;0;true
24.67648386;50;1;0;true
25.37952344;50;0;0;true
35.51638522;50;0;0;true
10.55363793;51;0;0;true
28.53633761;51;1;0;true
29.33860567;51;0;0;true
11.12997141;52;1;1;true
12.21781334;52;1;0;true
17.75940427;52;0;1;true
21.48761634;52;1;0;true
21.50425575;52;1;1;true
38.21410326;52;1;0;true
21.04088171;53;0;1;true
12.47340149;54;1;0;true
20.09438067;54;0;0;true
20.46039477;54;0;0;true
39.71423633;54;1;0;true
26.3149454;55;0;1;true
40.88933119;55;0;0;true
14.64743055;56;1;1;true
18.55855629;56;0;0;true
36.15678508;56;0;0;true
36.31832967;56;1;0;true
38.82558772;56;1;1;true
40.06808454;56;0;0;true
23.90197773;57;1;1;true
36.04650119;57;1;1;true
40.93944141;57;1;0;true
13.09740257;58;0;0;true
21.29025591;58;1;0;true
26.31134896;58;0;1;true
34.5076503;58;1;1;true
34.74985994;58;1;1;true
40.43416465;58;1;1;true
15.49531748;59;0;1;true
34.05645792;59;0;1;true
12.18770777;60;1;0;true
14.51702388;60;1;0;true
17.65614291;60;1;1;true
18.05764;60;0;1;true
20.07418714;60;1;1;true
23.91789516;60;0;1;true
27.93888039;60;1;0;true
17.81436901;61;0;0;true
20.39987304;61;1;1;true
20.84001634;61;0;1;true
27.07191046;61;0;0;true
